相對年度,平均所得相對成長率百分點,事件數,縣市,輪替年度,由,轉為,所得相對成長率百分點
0,1.4629273438508632,28,嘉義縣,2002,KMT,DPP,-8.599627985744007
0,1.4629273438508632,28,基隆市,2015,KMT,DPP,10.060697185230794
0,1.4629273438508632,28,基隆市,2023,DPP,KMT,1.3898431260971122
0,1.4629273438508632,28,宜蘭縣,2006,DPP,KMT,-8.920080645257578
0,1.4629273438508632,28,宜蘭縣,2010,KMT,DPP,7.0667858157227315
0,1.4629273438508632,28,宜蘭縣,2019,DPP,KMT,-0.5886942959055119
0,1.4629273438508632,28,彰化縣,2002,KMT,DPP,11.481265523388906
0,1.4629273438508632,28,彰化縣,2006,DPP,KMT,4.271988128529358
0,1.4629273438508632,28,彰化縣,2015,KMT,DPP,-1.863085096919903
0,1.4629273438508632,28,彰化縣,2019,DPP,KMT,0.1881356742854834
0,1.4629273438508632,28,新北市,2006,DPP,KMT,-2.4866976368333127
0,1.4629273438508632,28,新竹市,2002,DPP,KMT,-7.823545441116764
0,1.4629273438508632,28,新竹市,2015,KMT,DPP,-10.01388630736244
0,1.4629273438508632,28,桃園市,2002,DPP,KMT,5.124366365715716
0,1.4629273438508632,28,桃園市,2015,KMT,DPP,-2.2302052343151857
0,1.4629273438508632,28,桃園市,2023,DPP,KMT,-0.16212015377323752
0,1.4629273438508632,28,澎湖縣,2006,KMT,DPP,9.578233809469161
0,1.4629273438508632,28,澎湖縣,2019,DPP,KMT,6.840853354670706
0,1.4629273438508632,28,澎湖縣,2023,KMT,DPP,13.553966901624648
0,1.4629273438508632,28,臺中市,2002,DPP,KMT,-3.503302549620635
0,1.4629273438508632,28,臺中市,2015,KMT,DPP,0.6745852213025927
0,1.4629273438508632,28,臺中市,2019,DPP,KMT,-0.645640846951423
0,1.4629273438508632,28,雲林縣,2006,KMT,DPP,14.327419745130143
0,1.4629273438508632,28,雲林縣,2019,DPP,KMT,7.060435275405474
0,1.4629273438508632,28,高雄市,2019,DPP,KMT,-1.076798595301831
0,1.4629273438508632,28,高雄市,2021,KMT,DPP,-0.5570718035780686
1,-2.306381243149293,28,嘉義市,2015,KMT,DPP,1.8694742814410859
1,-2.306381243149293,28,嘉義市,2019,DPP,KMT,0.6689265212036943
1,-2.306381243149293,28,嘉義縣,2002,KMT,DPP,0.1463407848238063
1,-2.306381243149293,28,基隆市,2015,KMT,DPP,-2.2292561403540745
1,-2.306381243149293,28,基隆市,2023,DPP,KMT,-6.201582365565805
1,-2.306381243149293,28,宜蘭縣,2006,DPP,KMT,-3.411524941897781
1,-2.306381243149293,28,宜蘭縣,2010,KMT,DPP,-12.723997125968722
